tract_id,tract_name,total_pop,median_income,median_home_value,median_gross_rent,occupied_units,owner_units,renter_units,hispanic_pop,white_pop,black_pop,poverty_universe,below_poverty,poverty_rate,year,centroid_distance_miles,beltline_half_mile,beltline_one_mile,beltline_three_miles,pct_white,pct_black,pct_hispanic,pct_renter
13089020100,"Census Tract 201, DeKalb County, Georgia",1783.0,96542.0,372400.0,808.0,759,546,213,192.0,1500.0,41.0,1782.0,84.0,0.0471380471380471,2000,1.533806689690986,0.0,0.0,1.0,0.8412787436904094,0.022994952327537857,0.1076836791923724,0.28063241106719367
13089020200,"Census Tract 202, DeKalb County, Georgia",2198.0,56094.0,438100.0,730.0,1255,528,727,68.0,1907.0,132.0,2182.0,140.0,0.0641613198900091,2000,1.2975434368114143,0.0,0.0,1.0,0.867606915377616,0.06005459508644222,0.030937215650591446,0.5792828685258964
13089020300,"Census Tract 203, DeKalb County, Georgia",3257.0,73715.0,260500.0,691.0,1510,1025,485,72.0,2540.0,490.0,3253.0,321.0,0.0986781432523824,2000,1.7244875972707423,0.0,0.0,1.0,0.7798587657353393,0.15044519496469144,0.02210623272950568,0.3211920529801324
13089020400,"Census Tract 204, DeKalb County, Georgia",2124.0,47438.0,259500.0,729.0,1166,561,605,71.0,1856.0,120.0,2137.0,147.0,0.0687880205896116,2000,0.8802541154212566,0.0,1.0,1.0,0.8738229755178908,0.05649717514124294,0.033427495291902073,0.5188679245283019
13089020500,"Census Tract 205, DeKalb County, Georgia",3203.0,28147.0,84200.0,530.0,1183,579,604,94.0,232.0,2833.0,3263.0,857.0,0.2626417407293901,2000,0.8896221404361857,0.0,1.0,1.0,0.07243209491102091,0.8844832969091476,0.02934748673118951,0.5105663567202029
13089020600,"Census Tract 206, DeKalb County, Georgia",2167.0,20549.0,84600.0,325.0,715,208,507,12.0,47.0,2083.0,2049.0,788.0,0.3845778428501708,2000,1.2793670873517717,0.0,0.0,1.0,0.02168897092754961,0.9612367328103368,0.0055376095985233045,0.7090909090909091
13089020700,"Census Tract 207, DeKalb County, Georgia",2619.0,30183.0,95700.0,573.0,947,409,538,257.0,242.0,2087.0,2619.0,702.0,0.268041237113402,2000,1.8494359323952863,0.0,0.0,1.0,0.09240168003054601,0.796869033982436,0.09812905689194348,0.5681098204857444
13089020801,"Census Tract 208.01, DeKalb County, Georgia",2714.0,36887.0,109900.0,641.0,979,741,238,54.0,349.0,2281.0,2742.0,515.0,0.187819110138585,2000,2.361157859071345,0.0,0.0,1.0,0.1285924834193073,0.8404568901989683,0.01989683124539425,0.24310520939734423
13089020802,"Census Tract 208.02, DeKalb County, Georgia",3560.0,32243.0,116700.0,478.0,1376,866,510,85.0,496.0,2906.0,3515.0,569.0,0.161877667140825,2000,3.193736757976217,0.0,0.0,0.0,0.1393258426966292,0.8162921348314607,0.023876404494382022,0.3706395348837209
13089021204,"Census Tract 212.04, DeKalb County, Georgia",5673.0,37149.0,88200.0,730.0,1269,82,1187,4072.0,366.0,110.0,5648.0,1684.0,0.2981586402266289,2000,6.482678731199707,0.0,0.0,0.0,0.06451612903225806,0.019390093424995595,0.7177860038780187,0.9353821907013397
